epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,430.039,1.04437,0.56444,1.13376,0.88173,0.84293,0.88826,0.53313,1.33139,0.61836,1.37324,0.000823597,0.000823597,0.000823597
43,440.131,1.03338,0.56952,1.13952,0.86555,0.86355,0.89027,0.5424,1.31036,0.60937,1.36145,0.000816144,0.000816144,0.000816144
44,450.259,1.01863,0.55388,1.14386,0.8573,0.84162,0.8744,0.52929,1.33308,0.626,1.38017,0.000808692,0.000808692,0.000808692
45,460.389,1.02918,0.55232,1.13263,0.86755,0.8564,0.88593,0.53986,1.30989,0.59982,1.34966,0.00080124,0.00080124,0.00080124
46,470.518,1.00682,0.54184,1.12218,0.89023,0.85083,0.88879,0.5403,1.32453,0.60168,1.35428,0.000793787,0.000793787,0.000793787
47,480.715,1.00049,0.53176,1.11034,0.8753,0.86208,0.88933,0.53812,1.32705,0.60795,1.37569,0.000786335,0.000786335,0.000786335
48,490.881,0.98047,0.53563,1.1048,0.88983,0.84331,0.89325,0.54511,1.32485,0.62206,1.38753,0.000778883,0.000778883,0.000778883
49,501.505,0.99848,0.54097,1.12265,0.89009,0.85279,0.89643,0.54091,1.31272,0.61345,1.37419,0.00077143,0.00077143,0.00077143
50,511.675,0.98113,0.52807,1.09583,0.90598,0.85345,0.89252,0.54509,1.29985,0.6065,1.36481,0.000763978,0.000763978,0.000763978
51,522.096,0.99491,0.54215,1.11881,0.87519,0.85695,0.88355,0.5402,1.30257,0.60557,1.3714,0.000756526,0.000756526,0.000756526
52,532.343,0.99949,0.53967,1.1179,0.88121,0.86734,0.89125,0.54218,1.30484,0.60082,1.36301,0.000749073,0.000749073,0.000749073
53,542.517,0.96411,0.52264,1.09385,0.86504,0.86581,0.89244,0.53925,1.31384,0.59639,1.3785,0.000741621,0.000741621,0.000741621
54,552.868,0.97917,0.52057,1.10216,0.89185,0.86418,0.88974,0.53568,1.31431,0.59612,1.3794,0.000734169,0.000734169,0.000734169
55,563.014,0.96118,0.51756,1.08253,0.87805,0.86161,0.89162,0.53954,1.31823,0.59962,1.37176,0.000726716,0.000726716,0.000726716
56,573.206,0.95386,0.51238,1.08483,0.85155,0.87335,0.88024,0.53753,1.30598,0.59603,1.36754,0.000719264,0.000719264,0.000719264
57,583.396,0.93401,0.50644,1.08623,0.87393,0.84926,0.88033,0.53911,1.30587,0.60172,1.3756,0.000711812,0.000711812,0.000711812
58,593.576,0.94439,0.50397,1.08031,0.89467,0.8383,0.88322,0.53554,1.31192,0.58926,1.39236,0.000704359,0.000704359,0.000704359
59,603.789,0.9392,0.49673,1.07656,0.89661,0.84607,0.88113,0.53727,1.31736,0.58411,1.39637,0.000696907,0.000696907,0.000696907
60,613.946,0.95365,0.50495,1.0948,0.89828,0.8361,0.88033,0.538,1.3185,0.59277,1.39439,0.000689455,0.000689455,0.000689455
61,624.131,0.94049,0.50176,1.09014,0.89498,0.84473,0.88233,0.5391,1.30328,0.59942,1.37846,0.000682002,0.000682002,0.000682002
62,634.33,0.93632,0.50054,1.07692,0.89407,0.83937,0.88101,0.53526,1.31618,0.59948,1.39524,0.00067455,0.00067455,0.00067455
63,644.438,0.92077,0.48924,1.07148,0.89869,0.83626,0.88365,0.54276,1.30548,0.59913,1.37013,0.000667098,0.000667098,0.000667098
64,654.588,0.91556,0.49115,1.0644,0.88822,0.85886,0.89169,0.54434,1.31137,0.59966,1.38748,0.000659645,0.000659645,0.000659645
65,664.753,0.93875,0.49385,1.0721,0.89425,0.84119,0.88446,0.54522,1.30136,0.59438,1.37822,0.000652193,0.000652193,0.000652193
66,674.926,0.91652,0.48594,1.07399,0.87617,0.86293,0.88817,0.54353,1.30435,0.58859,1.38712,0.000644741,0.000644741,0.000644741
